modalite,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12,Dim13,Dim14,Dim15,Dim16,Dim17,Dim18,Dim19,Dim20,Dim21,Dim22,Dim23,Dim24,Dim25,Dim26,Dim27,Dim28,Dim29,Dim30,Dim31,Dim32,Dim33,Dim34,Dim35,Dim36,Dim37,Dim38,Dim39,Dim40,Dim41,Dim42,Dim43,Dim44,Dim45,Dim46,Dim47,Dim48,Dim49,Dim50,Dim51,Dim52,Dim53,Dim54,Dim55,Dim56,Dim57
Medu__0,10.64656208872764,0.01262913242516608,2.2562808645031236,9.300942438727459,0.7456889357154477,1.3451233877728381,4.78793466818958,0.7147457563382132,0.04285070933964096,2.220329895542341,42.47990362551802,2.520598905200789,22.04964872586855,3.5259019214790146,0.4198487103812207,0.0037275516477390013,1.6357935203639669,5.6840428988301275,0.3280789168953408,3.714243490608831e-06,6.856808750483722,6.055159763039282,30.40234760957826,1.4374717504053454,3.8699302930995447,9.807572761677639,0.3415162731967069,5.714943463404065,8.301589544150755,1.4984244162820686,26.700619266255266,69.35288730173909,2.046302999709321,10.821546085325107,24.627167604708813,2.684523206152649,1.1713268747150762,9.105800017075333,3.470674951104392e-05,7.262480921756373,13.076016394255868,8.140637094341136,0.42638935259342303,2.3704080050599963,0.3723042001750755,3.7904436858740826,3.1122142604222076,0.03193205061321631,8.481200099523816,0.0006221676432624691,2.7552421854207386e-05,1.3566091693710274e-05,3.1953191020242224e-05,5.642431948624154e-06,0.0006054026505527055,1.1627906976744184,1.1627906976740652
Medu__1,3.329594434036415,0.0001658840982503081,0.22944537774475204,0.006151784509701076,0.012804910175883956,1.1688774242581197,0.047698357978726784,2.1304036645481474,9.322679647379221e-05,0.07102604382433424,0.11187231358121837,0.010356986519457878,0.13333670840164188,0.0253273394874952,1.5670193682482934,0.0011649950460216846,2.8716071307665807,0.02600125820066477,1.1839006020698455,0.026996450640602392,0.4120028811250125,0.15703594255046477,0.0027735510048790516,0.44684598185484936,0.02498347856394945,0.006217400777892999,0.04558559972624663,0.04582749199649463,0.003042622385898635,0.011099712011859908,0.6710770078834168,0.6907346288442795,0.30952302079469096,0.058356348405634126,0.4200581870907688,0.26508541331403895,0.32433037858136005,0.46527710522256327,2.2929298538373817,1.1757280579024154,0.581398774453644,0.12765532589589226,0.3915727308022307,0.2573922488617244,0.25526051612891176,0.018916936729112648,2.5357200338493984,0.5094136294947347,14.431118016756827,6.413083864563873e-05,0.0031918156758686997,6.32066436972737e-07,0.007685163728452392,0.0024810542885337385,0.0015001739549696327,1.1627906976744184,1.1627906976744866
Medu__2,0.4117547107511235,0.054526731741370675,0.2915009223499246,0.05929699394736436,0.09862207550543411,0.06135078928364986,0.25219479437785075,0.21429515811441613,0.11758893011614567,0.7728670741587876,0.013528224576544184,0.02492565602546158,0.4972002686457983,0.2007378396938791,1.1017413336571922,0.13100089319650463,0.07712065124003639,0.01566817695222747,0.13523069268960275,0.002915658413744359,0.3260123960891779,0.06676391229233734,0.61430211478198,0.049915888962495644,0.03201632784256962,0.1897200886993475,0.11668837124354607,0.0030888514980208434,0.0502416240778636,0.01042699735286728,0.6347284997918997,0.27346817551485003,0.044074747414821945,0.027466187260194657,0.04467380357419961,0.004789672260772326,0.21874433788203357,0.03679458511518892,0.08190563341591232,1.6649780288090061,0.06845538912224798,0.021597027103433898,0.04585371763092791,1.7151554564812994,0.06502233001724342,0.29330060249764073,0.027200851413342865,0.004680902360011041,3.834365051510252,0.0011604087787596617,0.0025352921270917128,0.0008800858561793486,0.0004869527349894274,5.8619725390835136e-05,0.0013119207068734392,1.1627906976744196,1.1627906976745221
Medu__3,0.040687501601158395,0.082279472578994,0.011221326884671015,0.04202512740642297,0.22754673858414687,0.20259217134904617,0.0001066429606723491,0.4637037323866506,0.0030575911255218287,0.03878306764737625,0.21230161432064554,0.022966680846622657,2.583906020533034,0.8026863477117168,0.009909359206031573,0.018109437606725075,0.8107138568995649,0.09620002831041331,0.09419386447671013,0.024757111382801036,0.009048431114841196,0.1121102967162946,0.5354718778472362,3.4738859126689256e-05,0.025645217789098503,0.08263472151227463,0.004512873560208166,0.009635730147697493,0.16017128620359286,0.020475433699068513,0.05727229803291212,0.22282704715760943,0.00039501602306953146,0.2752286006457821,0.1743711849063892,0.09316923287436922,0.27461541470268086,0.4255865738696088,1.735707973411082,0.007074039902055948,0.05692278222112665,0.28399153476050304,0.007158668771022263,0.04625539099420739,0.04026318642743554,0.1921513730441292,1.1932527501184198,2.079625594229266,0.10371134533618069,0.00019232902472320843,0.000249253162327697,0.001308758926231643,0.0009068308760906644,0.0006035166102623955,0.0005342236025582313,1.162790697674419,1.1627906976743458
Medu__4,1.8758175484823687,0.13967572163645386,0.21619429584091998,0.12900398896964493,0.028780227634679353,0.060381455052506534,0.05114563757232681,0.07987685681696742,0.08230481849291243,0.18665103339500833,0.048985399635403375,0.04756215821478614,0.14213436959313666,0.10472960819811684,0.041863407019627485,0.13815446580330942,0.0277586444278147,0.014270650239211317,0.0034982441321413163,8.858254149177007e-05,0.002196890572370817,0.06372490959677672,0.0023633100237326326,0.00460366968018154,0.06686309746277885,0.00021085204697465196,0.05179053440569621,0.018815554185062172,0.1609263749091638,0.0016349635803866748,0.04635044706030396,0.006637836684029822,0.0015978035049990106,0.05322895193057607,3.4252446518674876e-05,0.001164246573285775,0.07206323269713313,0.07484461274406254,0.021736575282184936,0.16645582844910126,0.11997424124422494,0.21781633629466887,0.19085732405368783,0.4120454266665867,0.0177961626713265,0.005772629502091032,0.06132987569365204,0.625470868819688,9.90944755510735,0.0014491165184535235,0.002199734776388016,0.002228946197239004,1.7789740322650025e-05,1.6655706892405667e-05,0.003208497691470944,1.1627906976744178,1.1627906976744877
Fedu__0,0.2538182473229242,0.06416555896129428,0.039518985981893344,11.43422277377403,0.39792633242223946,2.253971067215982,0.018014315516195343,2.082820333754607,0.3430623538377429,3.2716318460932947,1.4190827941745194,41.111345073736544,14.733695437230566,18.786893568313943,6.226184119186362,4.793250001560885,9.885643473577165,5.803853027540254,39.32047738999245,3.4539162494707907,25.400928420859564,11.49047269389163,32.00233465132816,3.1866363624915017,73.19123193400758,14.633546663408895,0.049996774723924414,38.90103195805982,39.2542632331438,26.076550342663214,2.429723094647047,2.786773555433375,11.19745212536377,3.050930809525126,0.05183791048672334,0.30632197352796187,0.1949038710813845,5.195709330140659,0.02319443752832544,0.572066555768544,13.073607170802278,10.63127357201781,7.997972016730298,33.48330491798323,2.241487452458002,7.966347351112514,1.2592586770120564,11.332138785160591,10.093473586833229,0.00026919619379074655,0.00020430134571713157,0.0028164665594347256,0.013259886921446163,0.003976005856810961,0.0025267546840300717,1.1627906976744227,1.1627906976738998
Fedu__1,2.7313729260400494,0.0014246327631577866,0.14500861565551593,0.004542673831747108,0.07915288732894883,0.661368091217846,0.023048959963172036,0.04192843313863119,0.0001761920504902561,0.011003182498765841,0.15722805900345735,0.26028140525727433,0.0913447332086291,9.585514965033991e-05,0.20549676755124638,0.11766547497612778,0.8131132367936795,0.017004878375143223,0.5672093069953474,8.393373230210976e-05,0.0035034775852056197,1.090948491556942,0.28781493487439536,0.0007006371928949894,0.003552297890213352,0.06699469324756614,0.0127083265021441,0.01917322452190768,0.0236338459810416,0.9445824280040637,0.002642351800741629,0.17621551579745773,0.023218553054119434,0.5550138007141685,0.025639231899562916,0.023731373275768842,0.008123884330091433,0.2021063313189073,0.002247609868774222,0.2865766659712637,0.004165953783743575,0.0013085275553789356,3.8776891790703725,0.021010385519157043,0.3062685071533698,0.4759260038772876,1.10891368210917,3.313776787748889,4.648616489630722,0.000839013750482344,5.760492637033351e-05,0.0004352199504833512,0.0007331165379774203,0.00033314948749874816,4.2872491496685465e-05,1.1627906976744187,1.1627906976744866
Fedu__2,0.2628854494544747,0.061070661015666224,0.0211744995619997,0.010188842540278121,0.05247241190557313,0.1510748368407229,0.020604564584433556,0.0889753725333646,0.12767522305763848,0.6604295474855154,0.029504778953416768,0.10646750448268019,1.0666853672356262,0.0006364528935451697,1.1271251308616455,0.37145826614913036,0.00011305533733008885,0.03230898217339956,0.19371550130927923,0.007471052586942403,0.07771531885934664,0.1992896114479113,5.720544970985439e-07,0.028101163225297997,0.05814359123999877,0.315949203583278,0.10756673232893924,0.023602109263009246,0.05349118076506202,0.6130931813097376,0.2827215184704308,0.18499795303014305,0.0076400836260768915,0.9051916556105677,0.004980029216564391,0.04646057291080566,0.02463549715787808,0.388810169634759,0.08463102954959179,0.5716324079949686,0.07470326120427502,0.08105774767513126,0.026988610898679263,0.9154694219331918,0.31937012431143774,0.229992848965936,0.2399527841697687,0.9143312271606115,0.8148655067277337,2.1390759751058625e-05,0.00016130495220195552,0.00011465743804590442,3.609199898714031e-08,1.3611367131614316e-07,0.0001054579723456816,1.1627906976744173,1.1627906976745432
Fedu__3,0.20716642307898334,0.06427212191198384,0.03620031253288809,0.032397719473741184,0.4570991963211074,0.006087035552898126,0.18071935011299442,0.39108321759104053,0.04136252803409307,0.050746146477717025,0.04063012523777574,0.20642714331308679,0.27962920565073773,0.2652617359717355,0.9937035368101363,0.09686701077169904,0.44902285049747553,0.019502048941097094,0.004566235561115591,0.07982858631490458,0.2994879407501315,0.3513614504628689,0.2288174303704429,0.09295911581374514,0.15206674686292046,0.2064001940496142,0.6949543655284985,0.04575386644713592,0.33680713436324355,0.06312227535530725,0.9607725279724595,0.03736790780011491,0.09272861007045188,0.0022622553979136147,0.14554293629169895,0.04059294379724929,0.01286539345745015,0.09693624520804843,0.6458083538046491,0.8472505904179201,0.0004555328737554924,0.25235963115609655,0.5729280653832896,0.29488545666764915,0.19901281735532872,0.0018068025490010978,1.2986202719693483,0.02102708528987454,0.2962508313927255,7.821447857443741e-07,0.0005404423031025433,0.006143809321323804,0.0003589878501804227,0.00031166513814926463,0.00010240465195702606,1.1627906976744196,1.162790697674333
Fedu__4,1.860188764336101,0.23150289468560548,0.06983528306253751,0.00789019275827831,0.05155731455322019,0.0297888506248836,0.024805827228745164,0.6587371767448009,0.34089094333595366,0.5696902249375363,0.12380506069460025,0.07511707900725789,0.1673410847682288,0.2133000678798512,0.07498352688118157,0.0005832793279439732,0.001895989526585998,0.009821288500310952,0.031708640435129984,0.11819434310892993,0.010760153846798726,0.10389969648663169,0.03103574813623913,0.02032729566408539,5.9876651029826186e-05,0.01870008900821671,0.16210744759465578,0.0010664364253522936,0.3358286392014317,0.005408339216988909,0.16626700771264868,0.08367648783070045,0.0006601089128313599,0.1741911072010052,0.18198314739981586,0.025005533637144257,0.0006748606811582094,0.002151135491267035,1.3273750984054948,0.27004983994012427,0.0831645701572009,0.05670479924255917,0.2951714574120074,0.05862160672414186,0.30631639238358194,0.016244480093176247,0.6681413462080218,5.536645126784144,4.640752185731478,0.0006874031712532286,0.0002550095997123618,0.005562985244991784,0.001434999038231927,1.8838176113920036e-05,0.0007354578342650445,1.1627906976744182,1.1627906976744813
Mjob__at_home,1.4962395886982685,0.06051966526410735,0.0011223997557887806,0.013752240947315244,0.3472365542603228,1.1042205740870912,0.1862454372442209,2.283392910844827,0.01160881729585366,0.1367946296962914,0.9957976755475202,0.42528528351347394,0.5284557875492198,0.02662516392845558,0.006982759793037526,1.4182626079742582,0.2424870149944428,0.0009867771652106521,0.004124997659287854,0.49900585132102093,0.7739348992312525,0.0012802843039947161,0.5170235246548741,0.3139289454856843,0.021762933645707683,0.15904383446812026,0.17451920854694267,0.19854342664248378,0.0045952318159747305,0.06202512331801061,0.0054546075761998155,0.04415687903435448,0.5628999225761229,0.0186143563420247,0.0919184919978061,3.5275569820232993,0.5997240797671408,0.6325820611980242,0.003076364208869952,0.9329131168211655,0.3420396935656301,1.3541158470168084,4.228917753796498,0.005629388541744475,0.11502325016668219,0.003602894109581298,0.0018238704151674208,0.7017938502438695,6.3633123087617385,0.0005472245796422431,0.0032281675639653103,0.000847615246212776,2.696838427014576e-06,0.0003611071645746798,0.00107327748318107,1.162790697674418,1.162790697674491
Mjob__health,1.7482225044502409,0.022256862633135848,0.5135514281765424,0.007819053486984442,0.10455398327098224,0.7103992153722116,0.16758453619145666,0.15194582916620444,0.1005993598373275,0.007104061807968497,0.08799583042338904,1.3839171280848173,0.4761767201643392,1.116573202360171,0.0004654734487385458,2.5262032012512736,11.873426785244034,0.003619629841174288,0.42917368076299117,0.18810570084525344,0.27611878825503605,0.032764882082513165,0.2287733647046449,0.15810927821018325,0.18928809547631234,1.4830524350873886,0.44850508721858806,0.3105066418689754,0.9371365731160227,4.564982741659944,3.3199515018877404,2.6415662952283267e-05,0.46631664715071103,1.8624051735950724,0.09816202942086569,0.32705775198837805,0.21804282573930747,0.381868055277985,0.6806697942947931,0.3413395006657978,0.0040789242382062935,0.005413417090162312,6.187278777027177,2.784010183818268,0.11559633093661757,0.00170784822529861,0.041696531317633144,1.4097711940519404,5.528030152936933,0.00031252127532534636,0.0016633495690841077,0.0018357187424144176,0.0006297823312639235,7.198262560774693e-05,0.002678732165656368,1.1627906976744193,1.1627906976743343
Mjob__other,0.5547701397532125,0.02843450777012086,0.03523682102145494,0.053246115474522175,0.1246646688671743,0.025804708905408928,0.023358901414475806,0.24707864864980744,0.18198642477073962,0.08063989738980971,0.1858463488413583,0.19669188855942382,1.0893819006348972e-05,0.23794256499096228,0.010016430685250002,0.032111361829875,0.049828284050337734,0.016762302130246248,0.4113632758936964,0.11788588940522765,0.17960466713720985,0.0020710165193167747,0.0002216413471895471,0.03750085220498143,0.046031836865769026,0.08829327565380037,0.008462097344498582,0.041107653118776115,0.06336575523364427,0.17334498971749462,0.10800392195051002,0.01271284456479069,1.176366277776995,0.006112185968937741,0.13683314498770321,0.39030295236975093,0.09054123405185069,0.11120179499718037,0.32376002407597415,0.002386916379736713,0.24171129284059645,0.031963150053795505,0.4201176425655026,0.36305426593539797,0.22550142263102257,0.34743969848969136,0.0009224061293775746,0.4565696761319691,0.9254188213546297,0.0005135155857009506,6.788217716773588e-05,0.0031165188623483732,0.0001844655250816183,0.0003868825848142317,5.151711793176092e-05,1.162790697674418,1.1627906976744586
Mjob__services,0.09184684999222677,0.013802769540209887,0.045327738539410606,0.004170950843090121,0.03925172829036909,0.15590262130866078,0.29265669642432157,0.1908113752848808,0.14607190501371412,0.12772933925937371,0.03124365359515259,0.525610333999549,0.9275228735127172,0.21160621664045276,0.30252672104463973,0.011220314865795644,0.5614385734373895,0.20908127542627283,0.5941624230381709,0.026043866931918222,0.015888094777801696,0.1950422873633795,0.14152539960335214,0.0024472567547707256,0.5002034085061222,0.02506687889356667,0.01486417658232116,0.02672307055889059,0.0085007180118626,0.04047398740437758,0.12490748438904477,0.046096671261833894,3.731347718991379,0.270287041959985,0.4724107042717596,0.21736760563574806,0.3241817312564237,0.001321512424395285,0.42603854392769386,0.7465013896448368,0.018468880030051683,0.2757859022932077,0.8029459049154472,0.204487227870003,0.00010862757218738179,0.09200560072266009,0.5705190127087362,0.23244346050766035,0.004231664750106944,0.00018068947188709024,0.006368481282401603,0.0005802936742596057,0.0003820514997979235,0.000297887966893126,0.0038201925161477513,1.162790697674418,1.1627906976744642
Mjob__teacher,2.3423680067340293,0.7173120931856329,0.15577440681375004,0.44460701901547306,0.021754375304593752,0.038354542074740455,1.0543219383547917,0.08039152390703994,0.18875290062539501,0.07971934444715481,0.04941894185482295,0.004455024664965855,0.2599516846511264,0.10787740515201785,0.2980842227340248,0.15273188452330427,0.35754424288839803,0.17194563997689732,0.2786137677186929,0.10263571747764662,0.08042712519489632,0.2075704206179026,0.06530695944428218,0.007588674834119067,0.262233555222715,0.3281777842863844,0.15434798186397272,0.22975411009973312,0.0015821882669115966,0.09555226509930893,1.4815775094637968,0.16524794954347224,0.7305893068687298,0.13635644165682423,0.02204708049589499,0.04101523810013993,0.04064536154967463,0.04421830497743247,0.4193057639026685,0.008543769459300545,0.12245365204972508,0.06527572400912186,0.2393064433661652,2.538227746136362,0.3626718196365908,0.6609715603572508,1.3785499561399064,5.450569921882826,8.675511379643034,0.006697781415446806,0.02848188332459154,0.001541778238694646,0.005663548115806601,2.8380250960321967e-05,0.012574386959842483,1.1627906976744178,1.1627906976744578
