variable,0,1,2,3,4,5,6,7,8,9
Fjob,0.10813274404072906,0.0906748678031368,0.02666647904146287,0.06830003613122555,0.03971332413200233,0.1234172151406616,0.033897617437290264,0.02024129921148905,0.03477542681323036,0.29688311471439116
Mjob,0.1924321982098684,0.3321633691208158,0.019639357525387226,0.04305068996464798,0.035172439588052766,0.021651484448176377,0.02301091305556891,0.12642554812625878,0.09191869920889272,0.15599351545062914
Pstatus,0.005173206774587663,0.001826461030438111,0.00895598712292615,0.004272287883105974,0.043754482454784284,0.0004362385433023259,0.0013947032188413688,0.07014462603005209,0.07871136976673504,0.05430294781704942
activities.m,0.05764652463284851,0.043400780286125734,0.0334171967180984,0.0032466591317141815,0.18862588526537738,0.11538079690328422,0.4474639782549962,0.007471456578271006,7.260008582049968e-05,0.007087307940130364
activities.p,0.053915681038016375,0.04018221185842662,0.03405399855878503,0.0038526761501278045,0.19256747038015795,0.11435338234452834,0.4466120714620547,0.006906502137815943,3.436138974551061e-05,0.007302309860328917
address,0.05931569818121432,0.011151141147049766,0.0005566452134069157,0.009419709248522543,0.007764140623184476,0.011848663677442592,0.018329646390729933,0.3172878739668746,0.0017968301519563864,0.05918827563672224
famsize,0.0010371792613952716,0.01314670275641515,0.021069700956453805,0.00319179055964608,0.007387387083010776,0.0005424444988178221,0.0008293657017473783,0.002275794373482261,0.0822173394573335,0.002422376930384213
famsup.m,0.14451989780554755,0.001871271492607335,0.4721439962884582,0.005826739579989283,0.001383713206799762,0.006178737410094486,0.018953597834002422,0.10053353472481834,0.08192304412895532,0.028980379699896096
famsup.p,0.15003081319192768,0.0023499665998268737,0.46761255888923764,0.005661879121297157,0.0014326672767448207,0.0067669429439476125,0.01890495597327064,0.10104220848851145,0.08411853825713468,0.029776573315482203
guardian.m,0.058247160913031046,0.0005161229789349153,0.2313140394701996,0.24520574373486692,0.6183948935140391,0.3770057137977599,0.07567451024125718,0.14122712909828314,0.0008519606295795273,0.08828847243895878
guardian.p,0.05852057321999845,0.0004764724302833421,0.23118084370059883,0.24310459610996402,0.6169027321685865,0.3761998405847346,0.07670005423360793,0.14140317289797882,0.0009704434979241886,0.08844670740985401
higher.m,0.3093489345373617,0.025682598095549996,0.01957113432220625,0.05402520425950949,0.0566063789738691,0.042478120187087146,0.04326163529734532,0.029572401944418056,0.11711571594037819,0.010017277371368474
higher.p,0.31344503166144844,0.02549043067851018,0.019923782444626358,0.055597481557239675,0.05610379421900375,0.04208170633921796,0.043414636093056014,0.029914535896318924,0.12081742107939643,0.010537813205346877
internet,0.030450959558636064,0.12607401157876413,0.008169451180576671,0.0010163294679989545,0.0009294139625669843,0.0005436755115383877,0.00010884772942577312,0.04861960862870498,0.002590033324233083,0.07572209512901569
nursery,0.053446932229937405,0.005576607064759206,5.1151221063759785e-05,1.9316244160657732e-05,0.052944771137778304,0.01030697652010185,0.012588042011136709,0.0009055244872332207,0.000342337297831658,0.0002860807555987405
paid.m,0.09271685156721655,0.008634372139525219,0.05958648331093707,0.043724111692856615,0.0032211244660266068,0.004738685648464598,0.038677468272786106,0.08013825349400676,0.02124240285208087,0.044365591687931895
paid.p,0.0012940161446175437,0.023328487696273815,0.011113217665432999,0.009953375800066375,0.002997916723032527,0.04365086783800752,0.005636083717085021,0.03342845133207007,0.007429827535904663,0.00012903662628941393
reason,0.06536124892330697,0.029634646773782757,0.021240819920070552,0.009382461349370869,0.023203306267859013,0.023812890568289728,0.029719909442630414,0.07554764991711675,0.11306730808914729,0.07085471945077908
romantic.m,0.021634032235249435,0.0680077904727303,0.15861873661429365,0.07619087239661704,0.00021213374720753278,0.22086771665824115,0.23106683789099872,0.0007835744039535751,0.07551858314864748,7.534918625131689e-05
romantic.p,0.022955339800845995,0.0670435122901715,0.1553467641265278,0.07879576764590991,0.00016780415444505459,0.218321406150504,0.238114129144253,0.0004458715941316807,0.07108240677210205,0.0002184284492765802
school,0.10497616848711211,0.0015490742990514703,0.013567076435516046,0.04911551951069222,0.015156782166573948,0.03030216038319648,0.003392070829997275,0.13699755509156794,0.0047388844797354645,0.07281515038586443
schoolsup.m,0.030079530574798573,0.13304237047968406,0.05658593898700482,0.402690427215764,0.02407325477726131,0.03646033119995071,0.04502499449958544,0.003485335695546019,0.11610535482716945,0.042621166767273955
schoolsup.p,0.03058022664415661,0.1294462937652915,0.061728950254722706,0.4120677823007675,0.024726261845807528,0.03354902502364965,0.04318559294815433,0.0026517215701670287,0.11038165913046506,0.04531066653406507
sex,0.03345728826788076,0.20527617541941814,0.09763983259308742,0.04663473246139248,0.006444289679361602,0.019651839032168758,0.0036582107022921197,0.009061580395729182,0.020269960858736634,0.0005808537887076733
