variable,0,1,2,3,4,5,6,7,8,9
G2.m,0.40923543750574115,0.184301388087842,0.08763778638018058,0.02203988745500362,0.015865875702960424,0.0006811308984513674,0.00034633016459273457,0.011145496637113414,5.033861632476675e-05,0.006549115701884687
G3.m,0.3577522840546072,0.18780250404788676,0.06712031058056303,0.028985179175703913,0.012736508787423917,0.00432305645905698,0.0012379223127088664,0.013413219148696242,0.0025712120187267114,0.004481187737316507
traveltime.p,0.11734173043265819,0.009561391943402386,0.11219284468463601,0.012196098186326321,1.7383776439671147e-06,0.2682041500713393,0.03835261377864849,0.039240393141103835,0.002229252619390762,0.015163568169468287
studytime.p,0.1969506572176921,0.042932663927351886,0.010062306516388867,0.1048686374033856,0.07285196527012083,0.031006389335689482,0.007091477371062346,0.0021582566259983815,0.0020341087103108056,0.046475835048004975
failures.p,0.2192064392633806,0.0014562243403638368,0.004762522643600551,0.012387004852828112,0.0008837837565197227,0.0047617798920369155,5.5208508877495376e-05,0.009738670023605202,0.0008978256717845157,0.005296856840430195
famrel.p,0.0031043113824054075,0.0002642385285853287,0.0373136306199725,0.19821736796324976,0.1851329628353709,0.03263854649383039,0.003030077445760311,0.002786311173680776,0.03914240379554332,0.01907363114167788
freetime.p,0.05214956004688559,0.1314355604481133,0.03414417119167688,0.09970703118670571,0.17322806770454688,0.007553526735592244,0.004643343607851752,0.009053064278390801,0.04007411206440531,0.0035880345378353266
goout.p,0.11031592530809961,0.1829681004502584,0.021156720890015756,0.021486654955196836,0.11611758144105881,0.0005760743477686838,0.0862718943104064,4.715651795573179e-11,0.013995030829708027,0.08370009242681872
Dalc.p,0.24568430251957438,0.34794300455566474,0.0001296356005164271,0.056179928485665505,0.031052325910630833,0.03170401280762046,0.0013383721541883218,0.0030318518206973897,0.002667158731108457,0.0014468457059310948
Walc.p,0.25226076092188404,0.3981368121383918,0.0071693860410336225,0.05450959872510622,0.016602596890695497,0.018580421590749317,0.0021540752170130842,0.0001530500932461693,0.0046844710339740935,0.015145138274444178
health.p,0.034310628396075835,0.001500382652129237,0.08006900966556854,0.15676325638409538,0.012074934783329144,0.0012867414855631508,0.20138786867385894,6.125437505946323e-05,0.20287293463513642,0.008509969264003856
absences.p,0.07768302942426085,0.007828845946616687,0.009428232369558065,0.027683200509488318,0.00016000623419796072,0.047450584983273425,0.008626693111186119,4.1931047898256544e-05,0.0008447602175417373,0.015697144913410135
G1.p,0.5592559854629067,0.045994921022692446,0.03927690954835842,0.007697966547723007,0.015903835978593225,0.004599640467744775,0.002094894353633802,0.006168749735390725,0.00019296272529033853,0.004719380883995246
G2.p,0.6272996778266172,0.036224196603789525,0.05248096480537233,0.007154024218008538,0.016544932034620773,0.0015871495813799315,0.00023391435798410096,0.0035691997541274904,2.2477523258715567e-05,0.0005905750077966193
G3.p,0.5991605731886303,0.026949349586164656,0.03132359129707912,0.011592110418521038,0.030655570802966402,0.001028900817798166,0.00021050781895694284,0.001900319046687265,0.00043323715000128494,2.258330714284707e-05
Fjob,0.04145030914372115,0.037428709400621325,0.08730141431409294,0.010756210154169672,0.08969454349497445,0.03663201435973967,0.07674035143622202,0.022707541520051173,0.038048975615731326,0.07500012364316216
Mjob,0.07332867959817617,0.18974207747151609,0.10809484560329752,0.03293612329998362,0.018973037602582767,0.027633256921046352,0.017286071261045984,0.10678724848390428,0.056495480187854476,0.09307419567605767
Pstatus,0.0033160865472220726,0.0009923918206521355,0.0009655852737599853,0.01501006717879763,0.005907873954554656,0.038832741932794214,0.014533154965145786,0.0013574804873075987,0.000844738400508282,0.07845065052935464
activities.m,0.02203776026643462,0.01579275918849466,0.04394802866907603,0.024422200459702604,0.06486515576201539,0.06703215070228061,0.014671814407257053,0.33130508409369797,0.1304895756650784,0.033781470683732384
activities.p,0.021276443785423788,0.01375110235420835,0.04123386749518693,0.02373996855603829,0.06681418334888688,0.06761680483954632,0.014332495688107226,0.3259531224390504,0.1370947072135231,0.03238772892263158
address,0.04807965660062039,0.012970935997635106,0.04845051011767423,0.010907950642343836,0.0004830459712905662,0.11920028827121787,0.022964257013524843,0.11309770838275103,0.026051607785057197,0.0011130115235299955
famsize,0.00026605360289512443,0.030953312122348225,0.0240750181532981,0.00032126811134985174,0.0028171622049248278,0.0044600078213197294,0.004207202493076176,0.0020671181396363205,0.0009297042767335982,0.0031116822425046866
famsup.m,0.020005126757792428,0.004252193188493349,0.3062981014574296,0.1378434780354572,0.00013825977528506995,0.022313757509098333,0.035484877006977555,0.03561067129375624,0.06417992506263456,0.002631278388370183
famsup.p,0.021589936347109547,0.0038237159136454793,0.31211233634069785,0.13576517306550603,0.0001741873946414755,0.022598106126983757,0.035649653843327155,0.03426642439853747,0.06778585898013571,0.00270564004705016
guardian.m,0.031032959539438066,0.005266770864385007,0.000453573627669772,0.051031540915851915,0.28183288303629095,0.06335541143105862,0.2778828754250158,0.34358446085308264,0.2805079907099546,0.40890093632475666
guardian.p,0.031211010163869568,0.005143709324421146,0.0006204713295760684,0.048408161734843164,0.2789617906045115,0.06361061280554071,0.2771133082049653,0.34263383993452595,0.2783082031748285,0.41119869155058225
higher.m,0.21108201362620915,0.008162634387894217,0.0017504634747185078,0.016471696647186083,0.0003106902830883431,0.21324205927897433,0.01079992860749588,0.00011921737156426107,0.004132959692058038,0.003599585057274499
higher.p,0.21732547073392927,0.008155628623087231,0.001927603424093743,0.01892659910509295,0.00019442721167458015,0.21109521823245223,0.010995603260922812,5.5251712805387554e-05,0.003754169132851416,0.0031327459813636797
internet,0.00936758751175669,0.07006765508879031,0.04889247328042105,0.002086016325563203,0.01316581384055802,0.019953019034261495,0.00016419164111643932,0.006001350292563478,0.02431889871871976,0.00023154966724762293
nursery,0.027186148625225833,0.00024338960188520517,0.022613201750468544,0.0006048425370784388,0.00428353846741044,0.01704720745361113,0.0029042875349197636,0.027872795818845185,0.0003660933953056549,0.0008959714078325896
paid.m,0.038161934285396305,0.016361336834442363,0.02762737606499158,0.14278797019205053,7.233714091795676e-06,0.020169412933923405,0.00019420912427504694,0.002735062603861083,0.04587504811870797,0.0140301152878964
paid.p,0.006889730815050875,0.004221546668775883,0.043685322540248935,0.0013690391293255321,0.0013980754110690125,0.01076934017802135,0.0005479023043523548,0.01997948814832092,0.03871013229101838,0.01192639671970583
reason,0.05600431172623441,0.022698298978237115,0.006966251993790838,0.05201937882289221,0.02172375258847767,0.024983972862907575,0.01153082416929905,0.048159514791799106,0.04912297720936816,0.0222461168806145
romantic.m,0.009981724326657424,6.47246522985107e-08,0.0031095045306765512,0.0831721614388552,0.03933628557862222,0.16151171820201063,0.2438117452113728,0.06988486717567635,0.030202012236890573,0.01141985432072473
romantic.p,0.011830923215969026,2.0247275838237123e-05,0.0028183697804314016,0.0785866226152873,0.03689091869779452,0.1589754992055223,0.2484332826783891,0.07624340779467015,0.026684920953571886,0.010278897746917622
school,0.04353804046060698,0.0021578585046217913,0.15543616003792346,0.004765195627156317,3.150507421079609e-08,0.017301558732348222,0.0329222027642597,0.016702991757302003,0.00031299890236985564,0.0014736333348741727
schoolsup.m,0.0015219905563306558,0.0856421771430352,0.18057414181328996,0.00013438517003323944,0.09840077104090197,0.05824658144256364,0.1148465645412635,8.345810156967495e-05,0.08268122084984447,0.02092367945661277
schoolsup.p,0.0018181109941544998,0.08736452717583366,0.18681088128867201,0.0002427820267480898,0.10646117778872388,0.05646062783269954,0.1070057435297696,3.320574800034221e-05,0.07807559295760562,0.0217325352206642
sex,0.05126817549675681,0.1676063476185913,0.0015945787331678228,0.17492219446078652,0.0069668628035243225,3.219548714301732e-08,0.005457107553186707,0.0021965334553043464,0.00013860465292900846,0.04033336707157052
